run,epochs_to_90pct_best_acc,early_acc_slope_e3,val_loss_var,train_loss_var_e5,epochs_to_90pct_r2,early_r2_slope_e3
20newsgroups-bow-mlp-dfa,1.0,-0.0078125,0.03940035506316179,2.7729300049444654,,
mnist-mlp-dfa,1.0,0.0,0.0,2.2912264043595023,,
fashion-mnist-mlp-bp-ste,1.0,0.0,0.0,7.6034316471875,,
ucr-gunpoint-mlp-dfa,2.0,0.1171875,3.5713888780315637,15.974347246783424,,
mnist-mlp-bp-ste,1.0,0.0,0.0,9.864623207423877,,
mnist-mlp-dfa-orthogonal,1.0,0.0,0.0,0.4623162307373848,,
cifar10-mlp-dfa-hadamard,1.0,0.0,0.0,0.42764396331397214,,
synthetic-min,,,,,1.0,
20newsgroups-bow-mlp-dfa-per-epoch,3.0,0.078125,2.0541667374610397,28.79913008511631,,
california-housing-mlp-dfa,,,0.06556039337497795,3.84901421786364e-05,8.0,0.0007187293172400411
cifar10-mlp-dfa-orthogonal,1.0,0.0,0.0,0.34038432305046035,,
mnist-mlp-dfa-per-epoch,3.0,0.28125,30.19596658524821,10.066371792543503,,
cifar10-mlp-bp-ste,1.0,0.0,0.0,12.397179699972131,,
synthetic-min-stoch,,,,,1.0,
