Dataset,Mode,Variant,n,Mean,SD,CI95,Baseline,BaselineMean,BaselineSD,BaselineCI95,BaselineN,Delta,WilcoxonP,Tie
20newsgroups,offline,backprop_float,6,0.2839,0.1327,0.1393,backprop_float,0.2839,0.1327,0.1393,6,0.0,NA,NA
20newsgroups,real,dfa_float,12,0.224,0.0713,0.0453,backprop_float,0.1184,0.0489,0.0271,15,0.1055,NA,NA
adult,offline,dfa_float,17,0.6494,0.1937,0.0996,backprop_float,0.5648,0.1263,0.0649,17,0.0846,0.2633,tie
adult,real,dfa_float,3,0.8595,0.0002,0.0006,backprop_float,0.8565,0.0014,0.0035,3,0.003,0.25,tie
ag_news,offline,dfa_ternary,5,0.4813,0.184,0.2285,backprop_float,0.4125,0.0704,0.0874,5,0.0688,0.625,tie
ag_news,real,backprop_float,2,0.9005,0.0007,0.006,backprop_float,0.9005,0.0007,0.006,2,0.0,NA,NA
california_housing,offline,dfa_float,4,0.0813,0.0457,0.0727,backprop_float,-9.1957,22.4987,23.611,6,9.277,NA,NA
california_housing,real,dfa_float,12,-0.6955,1.7845,1.1338,backprop_float,-5.3854,12.4298,10.3916,8,4.6898,NA,NA
cifar10,offline,backprop_float,26,1.0,0.0,0.0,backprop_float,1.0,0.0,0.0,26,0.0,NA,NA
fashion_mnist,offline,backprop_float,26,0.9997,0.0015,0.0006,backprop_float,0.9997,0.0015,0.0006,26,0.0,NA,NA
fashion_mnist,real,dfa_float,25,0.7871,0.0387,0.016,backprop_float,0.7208,0.3046,0.1257,25,0.0662,0.2099,tie
mnist,offline,backprop_float,26,1.0,0.0,0.0,backprop_float,1.0,0.0,0.0,26,0.0,NA,NA
mnist,real,dfa_float,25,0.939,0.0077,0.0032,backprop_float,0.8422,0.2492,0.1029,25,0.0968,0.2099,tie
synthetic,offline,dfa_ternary,2,-0.0257,0.0,0.0,dfa_ternary,-0.0257,0.0,0.0,2,0.0,NA,NA
ucr,offline,backprop_float,6,1.0,0.0,0.0,backprop_float,1.0,0.0,0.0,6,0.0,NA,NA
ucr,real,backprop_float,6,1.0,0.0,0.0,backprop_float,1.0,0.0,0.0,6,0.0,NA,NA
